Symbol,Name,Sector,Industry,Country,Currency,Exchange,Website,Current Price,Market Cap,Enterprise Value,PE Ratio,Forward PE,PEG Ratio,Price to Book,Price to Sales,Book Value per Share,Revenue per Share,Revenue Growth (YoY),Earnings Growth (YoY),EBITDA Margins,Gross Margins,Operating Margins,Profit Margins,Dividend Rate,Dividend Yield,Payout Ratio,Five-Year Avg. Dividend Yield,Ex-Dividend Date,Free Cash Flow,Operating Cash Flow,Total Cash,Cash per Share,Total Debt,Net Debt,Debt to Equity,Current Ratio,Quick Ratio,Beta,52-Week High,52-Week Low,Average Volume,Regular Market Volume,Current Price Change (%),1-Year Return,Insider Ownership,Institutional Ownership,Short Ratio,Target High Price,Target Low Price,Target Mean Price,Recommendation Mean,Number of Analyst Opinions,Return on Assets,Return on Equity,Enterprise to EBITDA,Trailing EPS,Forward EPS,Total Revenue
AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,USD,NGM,https://ir.atai.net.cn/,1.02,32103378,64450476,N/A,-1.030303,N/A,0.48479083,0.12802777,2.104,7.962,0.131,N/A,-0.11724,0.51831,-0.26191,-0.16271,N/A,N/A,N/A,N/A,1535328000,N/A,N/A,39391128,0.625,39645840,N/A,59.868,0.162,0.109,0.782,1.65,0.5,52779,37740,N/A,0.108695626,0.07195,0.16389,2.26,N/A,N/A,N/A,N/A,N/A,-0.06877,-0.48075,-2.192,-0.18,-0.99,250753248
AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,United States,USD,NCM,https://aadibio.com,2.22,54717228,-6955790,N/A,-1.776,N/A,0.79342383,2.1825778,2.798,0.929,0.21,N/A,-2.52872,-1.0986,-1.49404,-2.4605901,N/A,N/A,N/A,N/A,N/A,-35620500,-54141000,62619000,2.541,946000,N/A,1.374,4.889,4.374,0.369,5.7,1.21,167211,61767,N/A,-0.53177965,0.09961,0.49172002,3.24,2.0,1.75,1.875,3.0,2,-0.35269,-0.65953004,0.11,-2.29,-1.01,25070000
AAL,American Airlines Group Inc.,Industrials,Airlines,United States,USD,NMS,https://www.aa.com,14.46,9502114816,39725113344,34.428574,7.055483,N/A,N/A,0.17723528,-7.387,81.697,0.012,N/A,0.094510004,0.24033001,0.049099997,0.00513,N/A,N/A,N/A,1.27,1580774400,445375008,2233999872,8949999616,13.62,39173001216,N/A,N/A,0.566,0.422,1.399,16.15,9.07,33173071,25183891,N/A,0.17465472,0.01282,0.57033,1.94,20.0,10.0,14.17,2.59091,19,0.02753,N/A,7.84,0.42,2.02,53612998656
AAME,Atlantic American Corporation,Financial Services,Insurance - Life,United States,USD,NGM,https://www.atlam.com,1.59,32639680,53437592,N/A,N/A,N/A,0.30256897,0.17548122,5.255,9.117,-0.031,N/A,-0.00189,0.080570005,0.00037999998,-0.01694,0.02,0.0117999995,0.1429,0.65,1712793600,10483625,2615000,21213000,1.04,40120000,N/A,39.852,1.331,0.947,0.462,3.0,1.43,4518,5640,N/A,-0.17616582,0.80286,0.05483,9.39,N/A,N/A,N/A,N/A,N/A,-0.0014599999,-0.030869998,-151.811,-0.36,N/A,186000992
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,United States,USD,NGM,https://www.ao-inc.com,34.07,1535814272,1623006336,N/A,46.35374,N/A,7.2044826,7.329211,4.729,5.35,0.042,N/A,-0.23263,0.26092,-0.25398,-0.38606998,N/A,N/A,N/A,N/A,N/A,-38015376,-43360000,34124000,0.757,121316000,N/A,57.201,1.609,0.933,1.961,34.08,6.7,3073336,6567541,N/A,1.1894171,0.05264,0.68107,4.38,27.5,14.0,22.375,1.75,4,-0.10998999,-0.41441002,-33.294,-2.04,0.73,209547008
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,United States,USD,NMS,https://www.aaon.com,132.05,10732971008,10770115584,57.413048,44.849525,N/A,13.4635,8.873487,9.808,14.862,0.168,-0.686,0.25689,0.35652,0.0399,0.15784,0.32,0.0023999999,0.14039999,0.55,1732838400,87713872,243436992,2859000,0.035,40000000,N/A,8.581,3.06,1.717,0.791,144.07,61.09,394298,437631,N/A,1.0687764,0.17464,0.73844004,6.17,150.0,102.0,125.8,2.14286,5,0.1598,0.25811002,34.662,2.3,2.93,1209554944
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,USD,NMS,https://www.apple.com,229.0,3461518196736,3515411595264,37.602627,27.56084,N/A,60.79108,8.852196,3.767,25.485,0.061,-0.341,0.34437,0.46206,0.31171,0.23971,1.0,0.0044,0.1612,0.63,1731024000,110846001152,118254002176,65171001344,4.311,119058997248,N/A,209.059,0.867,0.745,1.24,237.49,164.08,47936298,30174153,N/A,0.20545352,0.020580001,0.61849,3.24,300.0,184.0,244.47739,1.89362,42,0.21464,1.5741299,26.106,6.09,8.31,391034994688
ABAT,American Battery Technology Company,Basic Materials,Other Industrial Metals & Mining,United States,USD,NCM,https://americanbatterytechnology.com,0.7697,59609876,60741056,N/A,-5.497857,N/A,0.80177087,173.53676,0.96,0.007,N/A,N/A,N/A,N/A,-35.172802,N/A,N/A,N/A,N/A,N/A,N/A,-25603900,-16736231,7001786,0.097,6501665,N/A,10.577,1.165,0.508,1.854,6.45,0.748,595787,648508,N/A,-0.8165138,0.05763,0.07406,14.57,9.0,9.0,9.0,N/A,1,-0.30784,-0.85831,-1.695,-0.96,-0.14,343500
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,USD,NMS,https://www.abcellera.com,2.67,788627264,216887968,N/A,-3.9555557,N/A,0.7309061,23.925346,3.653,0.112,-0.014,N/A,N/A,N/A,-14.39419,N/A,N/A,N/A,N/A,N/A,N/A,-105576000,-120167000,643139008,2.177,71399000,N/A,6.623,9.336,8.878,0.351,6.055,2.335,2193988,1714955,N/A,-0.38826185,0.27987,0.38215,9.57,28.0,5.0,12.28571,1.44444,7,-0.13256,-0.15551,-0.976,-0.61,-0.66,32962000
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,United States,USD,NCM,https://www.abeonatherapeutics.com,5.75,249958256,158177664,N/A,-5.111111,N/A,10.286225,Infinity,0.559,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-20499376,-42203000,122708000,2.833,23165000,N/A,31.628,7.475,7.383,1.505,9.01,3.05,262656,214575,N/A,0.33410668,0.05104,0.77542996,10.79,21.0,9.5,16.75,1.2,6,-0.37814,-1.2738,-2.889,-2.05,-1.48,N/A
ABL,"Abacus Life, Inc.",Financial Services,Insurance - Life,United States,USD,NCM,https://abacuslife.com,8.86,661654144,821650496,N/A,10.739393,N/A,2.5651417,6.461004,3.454,1.547,0.333,N/A,0.27231002,0.90904,0.23292999,-0.116459996,N/A,N/A,N/A,N/A,N/A,31597312,-131117952,22428670,0.3,182516832,N/A,70.76,1.291,1.204,0.148,13.25,6.556,83258,79466,N/A,0.20428574,0.83114,0.17766,12.63,16.0,13.0,14.125,1.25,4,0.03358,-0.05789,29.464,-0.23,0.81,102407328
ABLV,Able View Global Inc.,Communication Services,Advertising Agencies,China,USD,NCM,https://www.ableview.com,0.86,36019640,38752520,3.5833335,N/A,N/A,3.1734319,0.24174283,0.271,3.776,-0.203,0.001,0.090900004,0.24837999,0.0779,0.06544,N/A,N/A,N/A,N/A,N/A,16094051,23573330,13328156,0.316,15858496,N/A,138.92,3.101,1.823,2.873,3.94,0.67,15466,21824,N/A,-0.70242214,0.40058997,0.39738998,1.08,N/A,N/A,N/A,N/A,N/A,0.15203,1.15065,2.861,0.24,N/A,148999824
ABLVW,Able View Global Inc.,Communication Services,Advertising Agencies,China,USD,NCM,https://www.ableview.com,0.019,N/A,N/A,N/A,N/A,N/A,0.0701107,N/A,0.271,3.776,-0.203,0.001,0.090900004,0.24837999,0.0779,0.06544,N/A,N/A,N/A,N/A,N/A,16094051,23573330,13328156,0.316,15858496,N/A,138.92,3.101,1.823,2.873,0.019,0.019,N/A,1131,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.15203,1.15065,N/A,N/A,N/A,148999824
